movie_id,predicted_revenue
12,110170855.8888889
13,84800466.78888889
18,90065276.9
22,165256750.7777778
24,40578955.833333336
25,83017841.54444444
28,58429563.666666664
35,142529738.06666666
38,31929896.611111112
58,186100582.26666668
59,24046740.333333332
65,37245923.97777778
66,42621017.46666667
69,70133810.85555555
70,85982238.05555555
74,220399528.63333333
75,74835644.47777778
78,65695147.03333333
79,27227020.844444446
85,57633796.01111111
87,85916013.14444445
89,139636597.95555556
95,201225266.3
96,249509160.16666666
98,99696862.4
105,150071980.96666667
106,114578086.17777778
111,77051760.43333334
117,155973519.66666666
118,95160795.43333334
120,87047290.15555556
121,87047290.15555556
122,88739283.98888889
128,52252019.42222222
129,76598384.48888889
134,114879368.66666667
152,88137357.64444445
155,70844777.87777779
157,56056336.677777775
161,89625412.87777779
162,50647854.57777778
163,109123122.55555555
165,145433585.04444444
167,130869817.78888889
168,158302562.35555556
169,111104372.78888889
172,62255936.1
174,71731031.77777778
177,48222505.166666664
179,115914230.25555556
180,249600214.94444445
182,92508236.1
186,24682296.455555554
187,104212694.57777777
189,70251845.98888889
193,108662103.23333333
194,81614494.94444445
196,158798601.2
197,51644618.277777776
199,70896871.63333334
200,78467593.91111112
201,100205206.55555555
203,33098556.122222222
205,69763461.05555555
207,50565028.97777778
217,164472435.05555555
231,103300127.06666666
242,99084495.63333334
243,104179056.8888889
245,56544209.94444445
251,135815874.75555557
254,96060528.42222223
257,40774487.766666666
268,101076295.22222222
272,74370680.45555556
274,89266643.05555555
277,84941592.07777777
278,56343865.833333336
279,79943253.16666667
280,68881695.24444444
285,186129184.47777778
296,57571089.18888889
297,93250339.05555555
298,117400924.82222222
306,61196291.56666667
310,75431185.45555556
314,57565720.8
320,30472776.833333332
322,73276366.03333333
326,36080740.86666667
329,396924291.25555557
330,345825666.2777778
331,185386867.43333334
334,43930142.11111111
345,83063911.72222222
350,104703513.25555556
364,100355423.95555556
377,59140849.92222222
380,46556076.18888889
388,75726317.83333333
392,55593379.61111111
393,63213525.68888889
395,209169547.92222223
409,47954329.51111111
411,70714914.18888889
414,85443140.41111112
415,92022643.3888889
421,128584269.52222222
423,46754655.13333333
424,315660982.65555555
425,164863185.12222221
435,444451299.75555557
440,170521754.6
453,90820296.63333334
462,68634661.8
470,54435929.71111111
479,61935059.744444445
496,125397400.74444444
497,106355734.92222223
503,63149425.833333336
508,69297858.52222222
509,46184228.844444446
522,76348127.73333333
524,66638835.13333333
525,87518166.27777778
526,148242059.84444445
533,38920694.7
534,82319005.66666667
539,94547117.12222221
544,220162092.31111112
547,80269045.55555555
550,83612668.2
557,118667299.1111111
558,121463870.07777777
559,121703465.34444444
562,140862366.8
563,165268217.7111111
568,48888780.61111111
577,20202295.366666667
579,53988259.1
580,63457601.344444446
581,44055680.8
584,73574796.21111111
585,75140553.14444445
587,52884880.52222222
588,170155945.73333332
590,59060120.9
591,82329135.96666667
594,122064438.24444444
597,173894335.94444445
602,288744443.8888889
603,134603895.2
604,118955567.23333333
605,98811375.47777778
606,73419474.91111112
607,119697115.78888889
608,118730924.57777777
609,113794813.22222222
612,202339564.35555556
615,152847611.1111111
616,75789499.62222221
617,25464109.48888889
619,76569909.02222222
622,101379224.53333333
628,131718441.97777778
634,46025107.14444444
639,8215743.5
640,286325580.32222223
644,333158726.8
652,69389005.14444445
664,192468330.15555555
671,110637518.74444444
672,101175398.95555556
673,115014048.27777778
674,109784025.98888889
675,136607562.36666667
676,179519761.6
679,239375374.63333333
686,86696013.67777778
688,153390378.96666667
693,94879079.86666666
694,152984402.47777778
698,160997959.24444443
699,147012058.47777778
700,113364418.66666667
707,113364418.66666667
708,147134694.91111112
709,95069723.1
710,119295514.31111111
711,54111034.666666664
714,137590844.8
745,89954323.17777778
746,36348442.744444445
752,149978863.82222223
754,201780336.9888889
755,52238129.56666667
767,125047831.44444445
768,162430740.91111112
769,31216938.9
772,164456308.7
782,25355953.7
783,36279070.85555556
786,47404550.42222222
787,53038119.7
788,105487935.82222222
790,69619707.37777779
794,72165552.96666667
795,74708741.62222221
802,32650195.888888888
807,65497744.766666666
808,76801973.58888888
809,103948485.18888889
810,80820377.63333334
812,38892263.9
816,16351315.6
817,28228252.722222224
818,64673400.37777778
819,76202534.56666666
820,272588794.25555557
824,97784027.04444444
834,64869056.666666664
840,256080307.02222222
841,76256326.96666667
846,261339169.55555555
848,41035674.41111111
849,30342229.411111113
853,83865851.21111111
854,25034305.155555554
855,130102922.73333333
857,301654161.7
859,120774572.0
861,64586251.677777775
862,42318306.92222222
863,71420129.0
865,27922416.98888889
866,23307392.744444445
869,295039644.74444443
879,214206932.82222223
881,38146738.44444445
888,100261699.77777778
889,105000223.08888888
913,44605646.01111111
920,81767446.78888889
921,84394042.25555556
924,59253467.52222222
926,43702189.13333333
928,120923678.7
943,57289479.3
944,105741541.54444444
948,98962009.23333333
950,75679722.5
951,150881517.76666668
953,66747506.14444444
954,95691676.42222223
955,190386258.96666667
956,167667537.46666667
957,34496067.81111111
978,50720729.37777778
1051,45089870.28888889
1091,62544740.63333333
1124,110017846.47777778
1125,87317556.91111112
1164,21015940.67777778
1213,97481309.01111111
1246,42839892.38888889
1248,56201055.78888889
1250,80646227.75555556
1259,34167998.63333333
1262,28345689.244444445
1265,74819007.54444444
1266,28194702.888888888
1268,26560004.333333332
1271,88796869.67777778
1272,98049773.78888889
1273,54426037.4
1368,63136255.54444444
1369,54411596.06666667
1370,77387292.72222222
1372,77288369.91111112
1381,41543389.766666666
1389,89838698.5
1402,66615117.87777778
1408,93179256.14444445
1417,37735195.53333333
1422,87371231.1111111
1427,33040525.255555555
1428,28616986.533333335
1452,145833913.58888888
1487,155330151.3
1491,29009460.255555555
1493,31728224.577777777
1495,221673920.76666668
1497,31807579.133333333
1499,29676098.1
1535,94578650.35555555
1537,60478487.85555556
1538,155244090.91111112
1551,42343835.55555555
1571,154123641.58888888
1572,153996588.9888889
1573,149650077.7888889
1574,34539370.03333333
1576,58974513.05555555
1577,36062457.18888889
1578,34789599.344444446
1579,77414303.64444445
1581,98553921.51111111
1584,51610893.54444444
1586,24574319.044444446
1593,93867453.78888889
1597,97711177.23333333
1598,107577528.54444444
1613,28620128.588888887
1620,132577028.46666667
1624,45841489.8
1635,139946121.34444445
1636,69921105.08888888
1637,92412758.21111111
1639,229517961.0111111
1642,20800899.033333335
1645,66375859.43333333
1646,37656068.53333333
1656,117854623.12222221
1669,160594420.7888889
1677,73006211.66666667
1683,70971445.8
1701,167740186.57777777
1717,59023307.755555555
1722,72788827.93333334
1724,89983818.53333333
1726,138860138.52222222
1729,76963666.85555555
1734,131297221.4
1735,103550975.3888889
1770,82403158.95555556
1771,160318775.2111111
1788,46414558.64444444
1792,99146795.3
1813,152658251.6111111
1819,90635153.16666667
1824,58727030.755555555
1830,43793580.344444446
1831,43068372.52222222
1833,35896541.52222222
1844,64182410.277777776
1850,65313461.53333333
1852,116337916.34444444
1858,190610101.62222221
1865,184955506.2
1878,106763792.42222223
1880,46204357.744444445
1883,81209083.47777778
1885,33317342.28888889
1887,39142201.05555555
1891,442244596.3111111
1892,406147842.5222222
1893,137013307.14444444
1894,135524821.56666666
1895,135524821.56666666
1900,45492766.06666667
1903,129516643.54444444
1904,88902232.95555556
1907,158815356.66666666
1909,27181177.966666665
1911,79358219.74444444
1921,111188956.97777778
1924,102727229.83333333
1927,128046346.45555556
1930,121714905.92222223
1934,84458205.53333333
1946,36080789.6
1947,33828599.62222222
1949,114267515.75555556
1957,41760921.54444444
1966,64207283.166666664
1969,23985183.922222223
1975,44584855.666666664
1979,90877611.96666667
1985,53438008.85555556
1995,80247160.25555556
1996,108342097.22222222
1997,58247532.52222222
2001,21888404.51111111
2018,30382729.044444446
2022,46647978.822222225
2023,151827432.62222221
2024,255291510.33333334
2026,58090146.255555555
2034,70920202.43333334
2043,75631685.56666666
2044,41959430.3
2048,164994608.73333332
2055,128065499.7
2057,38424787.42222222
2059,137994176.97777778
2062,81649833.44444445
2067,120039660.36666666
2069,59862921.01111111
2080,209110963.3888889
2085,37404924.9
2100,65625369.13333333
2112,69726335.32222222
2114,62763219.98888889
2116,52712807.08888889
2118,66056360.666666664
2119,269644281.48888886
2122,30166529.433333334
2123,82557579.54444444
2133,71424251.62222221
2135,76221772.74444444
2140,42971610.03333333
2148,44845001.08888889
2155,64723174.677777775
2157,86431131.22222222
2162,60881237.51111111
